2021-03-22 07:09:09 Line: 13, : Request start: 188.68.224.138
2021-03-22 07:09:09 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 07:10:22 Line: 13, : Request start: 188.68.224.138
2021-03-22 07:10:22 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 07:11:20 Line: 13, : Request start: 188.68.224.138
2021-03-22 07:11:20 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 07:13:09 Line: 13, : Request start: 188.68.224.138
2021-03-22 07:13:09 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 07:23:16 Line: 13, : Request start: 188.68.224.138
2021-03-22 07:23:16 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 07:24:24 Line: 13, : Request start: 188.68.224.138
2021-03-22 07:24:24 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 07:32:50 Line: 13, : Request start: 188.68.224.138
2021-03-22 07:32:50 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 07:33:05 Line: 13, : Request start: 188.68.224.138
2021-03-22 07:33:05 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 07:34:03 Line: 13, : Request start: 188.68.224.138
2021-03-22 07:34:03 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 07:35:26 Line: 13, : Request start: 188.68.224.138
2021-03-22 07:35:26 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 07:36:53 Line: 13, : Request start: 188.68.224.138
2021-03-22 07:36:53 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 07:36:55 Line: 13, : Request start: 188.68.224.138
2021-03-22 07:36:55 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 07:56:55 Line: 13, : Request start: 188.68.224.138
2021-03-22 07:56:55 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 07:58:21 Line: 13, : Request start: 188.68.224.138
2021-03-22 07:58:21 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 07:58:54 Line: 13, : Request start: 188.68.224.138
2021-03-22 07:58:54 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:08:43 Line: 13, : Request start: 185.38.251.200
2021-03-22 08:08:51 Line: 13, : Request start: 185.38.251.200
2021-03-22 08:09:51 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:09:51 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:09:55 Line: 131, APISubiektGT\SubiektGT\products->getAllPriceCalculations: Request finish: 185.38.251.200
2021-03-22 08:10:04 Line: 131, APISubiektGT\SubiektGT\products->getAllPriceCalculations: Request finish: 185.38.251.200
2021-03-22 08:10:04 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:10:04 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:10:08 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:10:08 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:10:13 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:10:13 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:10:17 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:10:17 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:10:30 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:10:30 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:10:37 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:10:37 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:10:44 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:10:44 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:10:51 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:10:51 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:11:08 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:11:08 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:11:21 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:11:21 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:11:26 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:11:26 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:12:24 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:12:24 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:12:32 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:12:32 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:12:35 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:12:35 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:12:40 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:12:40 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:12:49 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:12:49 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:12:56 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:12:56 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:12:56 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:12:56 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:13:02 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:13:02 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:13:15 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:13:15 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:13:21 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:13:21 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:13:28 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:13:28 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:13:34 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:13:34 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:13:39 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:13:39 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:13:51 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:13:51 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:13:58 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:13:58 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:13:59 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:13:59 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:14:08 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:14:08 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:14:31 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:14:31 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:14:44 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:14:44 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:14:53 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:14:53 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:15:20 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:15:20 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:15:20 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:15:20 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:15:23 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:15:23 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:15:26 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:15:26 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:15:32 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:15:32 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:15:43 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:15:43 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:16:01 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:16:01 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:16:06 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:16:06 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:16:08 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:16:08 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:16:12 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:16:12 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:16:22 Line: 13, : Request start: 188.68.224.138
2021-03-22 08:16:22 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-22 08:16:51 Line: 13, : Request start: 188.68.224.138
