2021-11-08 08:04:03 Line: 13, : Request start: 185.38.251.200
2021-11-08 08:04:14 Line: 131, APISubiektGT\SubiektGT\products->getAllPriceCalculations: Request finish: 185.38.251.200
2021-11-08 08:04:27 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:04:27 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:04:42 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:04:42 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:04:48 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:04:48 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:04:56 Line: 13, : Request start: 185.38.251.200
2021-11-08 08:06:12 Line: 131, APISubiektGT\SubiektGT\products->updateprice: Request finish: 185.38.251.200
2021-11-08 08:09:56 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:09:56 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:10:02 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:10:02 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:10:08 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:10:08 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:10:23 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:10:23 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:10:41 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:10:41 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:10:43 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:10:43 Line: 131, APISubiektGT\SubiektGT\document->assembleset: Request finish: 188.68.224.138
2021-11-08 08:10:44 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:10:44 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:10:48 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:10:48 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:10:50 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:10:50 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:10:58 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:10:58 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:11:05 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:11:05 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:11:08 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:11:08 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:11:11 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:11:11 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:11:17 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:11:17 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:11:20 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:11:20 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:11:23 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:11:23 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:11:30 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:11:30 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:11:34 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:11:34 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:11:49 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:11:49 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:11:51 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:11:52 Line: 131, APISubiektGT\SubiektGT\document->assembleset: Request finish: 188.68.224.138
2021-11-08 08:11:52 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:11:52 Line: 131, APISubiektGT\SubiektGT\document->assembleset: Request finish: 188.68.224.138
2021-11-08 08:11:52 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:11:52 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:11:56 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:11:56 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:14:39 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:14:39 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:14:43 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:14:43 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:14:51 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:14:51 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:14:55 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:14:55 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:15:11 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:15:11 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:15:13 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:15:13 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:15:15 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:15:15 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:15:15 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:15:15 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:15:19 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:15:19 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:15:26 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:15:26 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:15:28 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:15:28 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:15:29 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:15:29 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:15:33 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:15:33 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:15:37 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:15:37 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:15:41 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:15:41 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:15:44 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:15:44 Line: 131, APISubiektGT\SubiektGT\document->assembleset: Request finish: 188.68.224.138
2021-11-08 08:15:45 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:15:45 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:15:51 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:15:51 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:15:52 Line: 13, : Request start: 188.68.224.138
2021-11-08 08:15:52 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-11-08 08:15:56 Line: 13, : Request start: 188.68.224.138
