2021-06-07 08:06:43 Line: 13, : Request start: 188.68.224.138
2021-06-07 08:06:43 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-06-07 08:06:50 Line: 13, : Request start: 188.68.224.138
2021-06-07 08:06:50 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-06-07 08:06:57 Line: 13, : Request start: 188.68.224.138
2021-06-07 08:06:57 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-06-07 08:07:03 Line: 13, : Request start: 188.68.224.138
2021-06-07 08:07:03 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-06-07 08:07:09 Line: 13, : Request start: 188.68.224.138
2021-06-07 08:07:09 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-06-07 08:07:15 Line: 13, : Request start: 188.68.224.138
2021-06-07 08:07:15 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-06-07 08:07:21 Line: 13, : Request start: 188.68.224.138
2021-06-07 08:07:21 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-06-07 08:07:57 Line: 13, : Request start: 188.68.224.138
2021-06-07 08:07:57 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-06-07 08:08:04 Line: 13, : Request start: 188.68.224.138
2021-06-07 08:08:04 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-06-07 08:08:14 Line: 13, : Request start: 188.68.224.138
2021-06-07 08:08:14 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-06-07 08:08:24 Line: 13, : Request start: 188.68.224.138
2021-06-07 08:08:24 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-06-07 08:08:30 Line: 13, : Request start: 188.68.224.138
2021-06-07 08:08:30 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-06-07 08:08:35 Line: 13, : Request start: 188.68.224.138
2021-06-07 08:08:35 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-06-07 08:09:15 Line: 13, : Request start: 188.68.224.138
2021-06-07 08:09:15 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-06-07 08:09:23 Line: 13, : Request start: 188.68.224.138
2021-06-07 08:09:23 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-06-07 08:09:31 Line: 13, : Request start: 188.68.224.138
2021-06-07 08:09:31 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-06-07 08:09:37 Line: 13, : Request start: 188.68.224.138
2021-06-07 08:09:37 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-06-07 08:09:43 Line: 13, : Request start: 188.68.224.138
2021-06-07 08:09:43 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-06-07 08:09:48 Line: 13, : Request start: 188.68.224.138
2021-06-07 08:09:48 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-06-07 08:09:56 Line: 13, : Request start: 188.68.224.138
2021-06-07 08:09:56 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-06-07 08:10:03 Line: 13, : Request start: 188.68.224.138
2021-06-07 08:10:03 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-06-07 08:10:06 Line: 13, : Request start: 188.68.224.138
2021-06-07 08:10:07 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-06-07 08:10:17 Line: 13, : Request start: 188.68.224.138
2021-06-07 08:10:17 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-06-07 08:10:23 Line: 13, : Request start: 188.68.224.138
2021-06-07 08:10:23 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-06-07 08:10:33 Line: 13, : Request start: 188.68.224.138
2021-06-07 08:10:33 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-06-07 08:10:39 Line: 13, : Request start: 188.68.224.138
2021-06-07 08:10:39 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-06-07 08:10:48 Line: 13, : Request start: 188.68.224.138
2021-06-07 08:10:48 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-06-07 08:10:55 Line: 13, : Request start: 188.68.224.138
2021-06-07 08:10:55 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-06-07 08:12:12 Line: 13, : Request start: 188.68.224.138
2021-06-07 08:12:12 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-06-07 08:12:18 Line: 13, : Request start: 188.68.224.138
