2021-02-19 12:29:03 Line: 11, : Request start: ::1
2021-02-19 12:29:20 Line: 11, : Request start: ::1
2021-02-19 12:30:15 Line: 11, : Request start: ::1
2021-02-19 12:30:15 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2021-02-19 12:30:15 Line: 95, APISubiektGT\SubiektGT\document->get: Request finish: ::1
2021-02-19 12:51:11 Line: 11, : Request start: ::1
2021-02-19 12:51:12 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 58
2021-02-19 12:51:12 Line: 95, APISubiektGT\SubiektGT\document->get: Request finish: ::1
2021-02-19 14:03:23 Line: 11, : Request start: 10.0.0.141
2021-02-19 14:03:25 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2021-02-19 14:03:25 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: 10.0.0.141
2021-02-19 14:03:44 Line: 11, : Request start: 10.0.0.141
2021-02-19 14:03:44 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2021-02-19 14:03:44 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: 10.0.0.141
2021-02-19 14:08:07 Line: 11, : Request start: 10.0.0.141
2021-02-19 14:08:07 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2021-02-19 14:08:07 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: 10.0.0.141
2021-02-19 14:09:02 Line: 11, : Request start: 10.0.0.141
2021-02-19 14:09:02 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2021-02-19 14:09:02 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: 10.0.0.141
2021-02-19 14:13:05 Line: 11, : Request start: 10.0.0.141
2021-02-19 14:13:05 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2021-02-19 14:13:05 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: 10.0.0.141
2021-02-19 14:22:40 Line: 11, : Request start: 10.0.0.141
2021-02-19 14:22:40 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2021-02-19 14:22:40 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: 10.0.0.141
2021-02-19 14:26:25 Line: 11, : Request start: 10.0.0.141
2021-02-19 14:26:25 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2021-02-19 14:26:25 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: 10.0.0.141
2021-02-19 14:32:40 Line: 11, : Request start: 10.0.0.141
2021-02-19 14:32:40 Line: 11, : Request start: 10.0.0.141
2021-02-19 14:32:40 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2021-02-19 14:32:40 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: 10.0.0.141
2021-02-19 14:38:36 Line: 11, : Request start: 10.0.0.141
2021-02-19 14:38:36 Line: 11, : Request start: 10.0.0.141
2021-02-19 14:38:36 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2021-02-19 14:38:37 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: 10.0.0.141
2021-02-19 14:38:38 Line: 11, : Request start: 10.0.0.141
2021-02-19 14:38:38 Line: 11, : Request start: 10.0.0.141
2021-02-19 14:38:38 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2021-02-19 14:38:38 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: 10.0.0.141
2021-02-19 14:40:41 Line: 11, : Request start: 10.0.0.141
2021-02-19 14:40:55 Line: 11, : Request start: 10.0.0.141
2021-02-19 14:41:12 Line: 11, : Request start: 10.0.0.141
2021-02-19 14:41:46 Line: 11, : Request start: 10.0.0.141
2021-02-19 14:43:28 Line: 11, : Request start: 10.0.0.141
2021-02-19 14:49:07 Line: 11, : Request start: 10.0.0.141
2021-02-19 14:49:07 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2021-02-19 14:49:07 Line: 95, APISubiektGT\SubiektGT\document->get: Request finish: 10.0.0.141
2021-02-19 15:22:20 Line: 11, : Request start: ::1
2021-02-19 15:22:21 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2021-02-19 15:22:21 Line: 95, APISubiektGT\SubiektGT\document->get: Request finish: ::1
2021-02-19 15:22:48 Line: 11, : Request start: ::1
2021-02-19 15:22:48 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2021-02-19 15:22:48 Line: 95, APISubiektGT\SubiektGT\document->get: Request finish: ::1
2021-02-19 15:22:53 Line: 11, : Request start: ::1
2021-02-19 15:22:53 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2021-02-19 15:22:53 Line: 95, APISubiektGT\SubiektGT\document->get: Request finish: ::1
2021-02-19 15:23:28 Line: 11, : Request start: ::1
2021-02-19 15:23:28 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2021-02-19 15:23:28 Line: 95, APISubiektGT\SubiektGT\document->get: Request finish: ::1
2021-02-19 15:25:35 Line: 11, : Request start: ::1
2021-02-19 15:25:36 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2021-02-19 15:25:36 Line: 95, APISubiektGT\SubiektGT\document->get: Request finish: ::1
2021-02-19 15:26:02 Line: 11, : Request start: ::1
2021-02-19 15:26:02 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 58
2021-02-19 15:26:02 Line: 95, APISubiektGT\SubiektGT\document->get: Request finish: ::1
2021-02-19 15:33:07 Line: 11, : Request start: ::1
2021-02-19 15:33:28 Line: 11, : Request start: ::1
2021-02-19 15:33:29 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 8
2021-02-19 15:33:29 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: ::1
2021-02-19 15:34:19 Line: 11, : Request start: ::1
2021-02-19 15:34:19 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 8
2021-02-19 15:34:19 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: ::1
2021-02-19 15:34:36 Line: 11, : Request start: ::1
2021-02-19 15:34:37 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 6
2021-02-19 15:34:37 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: ::1
2021-02-19 15:34:54 Line: 11, : Request start: ::1
2021-02-19 15:34:54 Line: 268, APISubiektGT\SubiektGT\Product->add: Utworzono produkt: NOWYKOD
2021-02-19 15:34:54 Line: 95, APISubiektGT\SubiektGT\product->add: Request finish: ::1
2021-02-19 15:36:04 Line: 11, : Request start: ::1
2021-02-19 15:36:04 Line: 268, APISubiektGT\SubiektGT\Product->add: Utworzono produkt: NOWYKOD1
2021-02-19 15:36:04 Line: 95, APISubiektGT\SubiektGT\product->add: Request finish: ::1
2021-02-19 16:18:26 Line: 11, : Request start: ::1
2021-02-19 16:18:26 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 6
2021-02-19 16:18:26 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: ::1
2021-02-19 16:21:27 Line: 11, : Request start: ::1
2021-02-19 16:21:27 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 6
2021-02-19 16:21:27 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: ::1
2021-02-19 16:22:27 Line: 11, : Request start: ::1
2021-02-19 16:22:27 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 6
2021-02-19 16:22:27 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: ::1
2021-02-19 16:23:06 Line: 11, : Request start: ::1
2021-02-19 16:23:06 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2021-02-19 16:23:06 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: ::1
2021-02-19 16:26:16 Line: 11, : Request start: ::1
2021-02-19 16:26:16 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 6
2021-02-19 16:26:16 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: ::1
2021-02-19 16:26:46 Line: 11, : Request start: ::1
2021-02-19 16:26:46 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2021-02-19 16:26:46 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: ::1
2021-02-19 16:31:04 Line: 11, : Request start: ::1
2021-02-19 16:31:04 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2021-02-19 16:31:04 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: ::1
2021-02-19 16:31:16 Line: 11, : Request start: ::1
2021-02-19 16:31:16 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2021-02-19 16:31:16 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: ::1
2021-02-19 16:31:32 Line: 11, : Request start: ::1
2021-02-19 16:31:32 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2021-02-19 16:31:32 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: ::1
2021-02-19 16:31:43 Line: 11, : Request start: ::1
2021-02-19 16:31:43 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2021-02-19 16:31:43 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: ::1
2021-02-19 16:32:36 Line: 11, : Request start: ::1
2021-02-19 16:32:36 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2021-02-19 16:32:36 Line: 95, APISubiektGT\SubiektGT\product->get: Request finish: ::1
2021-02-19 16:32:42 Line: 11, : Request start: ::1
2021-02-19 16:32:42 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
