2021-02-04 15:06:47 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2021-02-04 15:06:48 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2021-02-04 15:06:57 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2021-02-04 15:07:04 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 11 for SQL Server][SQL Server]Login failed for user 'sa'.
2021-02-04 15:07:34 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2021-02-04 15:08:38 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 11 for SQL Server][SQL Server]Login failed for user 'test'.
2021-02-04 15:08:46 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2021-02-04 15:08:54 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2021-02-04 15:09:00 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2021-02-04 15:11:11 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2021-02-04 15:17:03 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2021-02-04 15:18:00 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2021-02-04 15:32:31 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2021-02-04 15:41:43 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2021-02-04 15:43:21 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2021-02-04 15:44:35 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2021-02-04 15:44:54 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2021-02-04 15:49:56 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2021-02-04 15:51:11 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2021-02-04 15:51:29 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2021-02-04 15:51:42 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2021-02-04 15:52:09 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2021-02-04 15:54:38 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2021-02-04 15:56:40 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2021-02-04 15:56:48 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2021-02-04 15:57:04 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2021-02-04 15:57:42 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2021-02-04 15:57:43 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2021-02-04 15:57:44 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2021-02-04 15:57:44 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2021-02-04 15:57:45 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
