2021-08-09 08:01:14 Line: 13, : Request start: 188.68.224.138
2021-08-09 08:01:14 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-08-09 08:01:20 Line: 13, : Request start: 188.68.224.138
2021-08-09 08:01:20 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-08-09 08:01:25 Line: 13, : Request start: 188.68.224.138
2021-08-09 08:01:25 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-08-09 08:01:37 Line: 13, : Request start: 188.68.224.138
2021-08-09 08:01:37 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-08-09 08:01:45 Line: 13, : Request start: 188.68.224.138
2021-08-09 08:01:45 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-08-09 08:01:55 Line: 13, : Request start: 188.68.224.138
2021-08-09 08:01:55 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-08-09 08:02:02 Line: 13, : Request start: 188.68.224.138
2021-08-09 08:02:02 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-08-09 08:02:20 Line: 13, : Request start: 188.68.224.138
2021-08-09 08:02:20 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-08-09 08:02:27 Line: 13, : Request start: 188.68.224.138
2021-08-09 08:02:27 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-08-09 08:02:37 Line: 13, : Request start: 188.68.224.138
2021-08-09 08:02:37 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-08-09 08:03:09 Line: 13, : Request start: 188.68.224.138
2021-08-09 08:03:09 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-08-09 08:03:15 Line: 13, : Request start: 188.68.224.138
2021-08-09 08:03:15 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-08-09 08:03:22 Line: 13, : Request start: 188.68.224.138
2021-08-09 08:03:22 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-08-09 08:03:37 Line: 13, : Request start: 188.68.224.138
2021-08-09 08:03:37 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-08-09 08:03:46 Line: 13, : Request start: 188.68.224.138
2021-08-09 08:03:46 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-08-09 08:03:51 Line: 13, : Request start: 188.68.224.138
2021-08-09 08:03:51 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-08-09 08:04:02 Line: 13, : Request start: 188.68.224.138
2021-08-09 08:04:02 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-08-09 08:04:10 Line: 13, : Request start: 188.68.224.138
2021-08-09 08:04:10 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-08-09 08:04:17 Line: 13, : Request start: 188.68.224.138
2021-08-09 08:04:17 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-08-09 08:04:25 Line: 13, : Request start: 188.68.224.138
2021-08-09 08:04:25 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-08-09 08:04:40 Line: 13, : Request start: 188.68.224.138
2021-08-09 08:04:40 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-08-09 08:04:50 Line: 13, : Request start: 188.68.224.138
2021-08-09 08:04:50 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-08-09 08:04:57 Line: 13, : Request start: 188.68.224.138
2021-08-09 08:04:57 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-08-09 08:05:05 Line: 13, : Request start: 188.68.224.138
2021-08-09 08:05:05 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-08-09 08:05:14 Line: 13, : Request start: 188.68.224.138
2021-08-09 08:05:14 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-08-09 08:05:21 Line: 13, : Request start: 188.68.224.138
2021-08-09 08:05:21 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-08-09 08:05:28 Line: 13, : Request start: 188.68.224.138
2021-08-09 08:05:28 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-08-09 08:05:36 Line: 13, : Request start: 188.68.224.138
2021-08-09 08:05:36 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-08-09 08:05:43 Line: 13, : Request start: 188.68.224.138
2021-08-09 08:05:43 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-08-09 08:05:50 Line: 13, : Request start: 188.68.224.138
2021-08-09 08:05:50 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-08-09 08:05:56 Line: 13, : Request start: 188.68.224.138
2021-08-09 08:05:56 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-08-09 08:06:02 Line: 13, : Request start: 188.68.224.138
2021-08-09 08:06:02 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-08-09 08:06:05 Line: 13, : Request start: 188.68.224.138
2021-08-09 08:06:05 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-08-09 08:06:11 Line: 13, : Request start: 188.68.224.138
2021-08-09 08:06:11 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-08-09 08:06:19 Line: 13, : Request start: 188.68.224.138
2021-08-09 08:06:19 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-08-09 08:06:28 Line: 13, : Request start: 188.68.224.138
