2021-09-13 07:46:52 Line: 13, : Request start: 188.68.224.138
2021-09-13 07:46:53 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-09-13 07:47:01 Line: 13, : Request start: 188.68.224.138
2021-09-13 07:47:01 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-09-13 07:47:03 Line: 13, : Request start: 188.68.224.138
2021-09-13 07:47:03 Line: 167, APISubiektGT\SubiektGT\Customer->add: Utworzono klienta od klienta: SP92269
2021-09-13 07:47:03 Line: 89, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 32600
2021-09-13 07:47:03 Line: 89, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 4849
2021-09-13 07:47:03 Line: 69, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: OR5754
2021-09-13 07:47:03 Line: 403, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: ZK 36486/W/2021
2021-09-13 07:47:03 Line: 131, APISubiektGT\SubiektGT\order->add: Request finish: 188.68.224.138
2021-09-13 07:49:45 Line: 13, : Request start: 188.68.224.138
2021-09-13 07:49:45 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-09-13 07:49:51 Line: 13, : Request start: 188.68.224.138
2021-09-13 07:49:51 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-09-13 07:49:53 Line: 13, : Request start: 188.68.224.138
2021-09-13 07:49:53 Line: 167, APISubiektGT\SubiektGT\Customer->add: Utworzono klienta od klienta: SF144273
2021-09-13 07:49:53 Line: 89, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 32601
2021-09-13 07:49:53 Line: 89, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 4882
2021-09-13 07:49:53 Line: 69, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: ZA5787
2021-09-13 07:49:53 Line: 89, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 4880
2021-09-13 07:49:53 Line: 69, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: ZA5785
2021-09-13 07:49:53 Line: 89, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 4881
2021-09-13 07:49:53 Line: 69, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: ZA5786
2021-09-13 07:49:53 Line: 403, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: ZK 36487/W/2021
2021-09-13 07:49:53 Line: 131, APISubiektGT\SubiektGT\order->add: Request finish: 188.68.224.138
2021-09-13 07:50:07 Line: 13, : Request start: 188.68.224.138
2021-09-13 07:50:07 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-09-13 07:50:13 Line: 13, : Request start: 188.68.224.138
2021-09-13 07:50:13 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-09-13 07:50:20 Line: 13, : Request start: 188.68.224.138
2021-09-13 07:50:20 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-09-13 07:50:23 Line: 13, : Request start: 188.68.224.138
2021-09-13 07:50:23 Line: 131, APISubiektGT\SubiektGT\document->assembleset: Request finish: 188.68.224.138
2021-09-13 07:50:24 Line: 13, : Request start: 188.68.224.138
2021-09-13 07:50:24 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-09-13 07:50:26 Line: 13, : Request start: 188.68.224.138
2021-09-13 07:50:26 Line: 167, APISubiektGT\SubiektGT\Customer->add: Utworzono klienta od klienta: SF123421
2021-09-13 07:50:26 Line: 89, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 32602
2021-09-13 07:50:26 Line: 89, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 8013
2021-09-13 07:50:26 Line: 69, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: ZA8857
2021-09-13 07:50:26 Line: 403, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: ZK 36488/W/2021
2021-09-13 07:50:26 Line: 131, APISubiektGT\SubiektGT\order->add: Request finish: 188.68.224.138
2021-09-13 07:50:43 Line: 13, : Request start: 188.68.224.138
2021-09-13 07:50:43 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-09-13 07:50:47 Line: 13, : Request start: 188.68.224.138
2021-09-13 07:50:47 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-09-13 07:50:51 Line: 13, : Request start: 188.68.224.138
2021-09-13 07:50:51 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-09-13 07:50:54 Line: 13, : Request start: 188.68.224.138
2021-09-13 07:50:54 Line: 131, APISubiektGT\SubiektGT\document->assembleset: Request finish: 188.68.224.138
2021-09-13 07:50:54 Line: 13, : Request start: 188.68.224.138
2021-09-13 07:50:54 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-09-13 07:51:08 Line: 13, : Request start: 188.68.224.138
2021-09-13 07:51:08 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
