2021-02-24 10:43:46 Line: 96, APISubiektGT\SubiektGT\order->get: Request finish: ::1
2021-02-24 10:44:39 Line: 11, : Request start: ::1
2021-02-24 10:44:39 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 25
2021-02-24 10:44:39 Line: 96, APISubiektGT\SubiektGT\order->get: Request finish: ::1
2021-02-24 10:44:56 Line: 11, : Request start: ::1
2021-02-24 10:44:56 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 198
2021-02-24 10:44:56 Line: 96, APISubiektGT\SubiektGT\order->get: Request finish: ::1
2021-02-24 10:46:17 Line: 11, : Request start: ::1
2021-02-24 10:46:17 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 198
2021-02-24 10:46:17 Line: 96, APISubiektGT\SubiektGT\order->get: Request finish: ::1
2021-02-24 10:47:07 Line: 11, : Request start: ::1
2021-02-24 10:47:07 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 198
2021-02-24 10:47:07 Line: 96, APISubiektGT\SubiektGT\order->get: Request finish: ::1
2021-02-24 10:52:47 Line: 11, : Request start: ::1
2021-02-24 10:52:47 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 47
2021-02-24 10:52:47 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 51
2021-02-24 10:52:47 Line: 67, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: TEST0102
2021-02-24 10:52:47 Line: 284, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: ZK 2/2021
2021-02-24 10:52:47 Line: 96, APISubiektGT\SubiektGT\order->add: Request finish: ::1
2021-02-24 10:52:55 Line: 11, : Request start: ::1
2021-02-24 10:52:55 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 47
2021-02-24 10:52:55 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 51
2021-02-24 10:52:55 Line: 67, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: TEST0102
2021-02-24 10:52:55 Line: 284, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: ZK 3/2021
2021-02-24 10:52:55 Line: 96, APISubiektGT\SubiektGT\order->add: Request finish: ::1
2021-02-24 10:54:38 Line: 11, : Request start: ::1
2021-02-24 10:54:38 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 47
2021-02-24 10:54:38 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 51
2021-02-24 10:54:38 Line: 67, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: TEST0102
2021-02-24 10:54:38 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 51
2021-02-24 10:54:39 Line: 67, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: TEST0102
2021-02-24 10:54:39 Line: 284, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: ZK 4/2021
2021-02-24 10:54:39 Line: 96, APISubiektGT\SubiektGT\order->add: Request finish: ::1
2021-02-24 10:57:47 Line: 11, : Request start: ::1
2021-02-24 10:57:47 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 198
2021-02-24 10:57:47 Line: 96, APISubiektGT\SubiektGT\order->get: Request finish: ::1
2021-02-24 10:59:46 Line: 11, : Request start: ::1
