2021-03-22 10:00:23 Line: 83, C:\xampp\htdocs\zapi\drtusz\src\apisubiektgt\subiektgt\customer.php: <b>Source:</b> Unknown<br/><b>Description:</b> Unknown
2021-03-22 10:00:28 Line: 83, C:\xampp\htdocs\zapi\drtusz\src\apisubiektgt\subiektgt\customer.php: <b>Source:</b> Unknown<br/><b>Description:</b> Unknown
2021-03-22 10:14:52 Line: 372, C:\xampp\htdocs\zapi\drtusz\src\apisubiektgt\subiektgt\document.php: Produkt nie jest kompletem.
2021-03-22 10:25:12 Line: 83, C:\xampp\htdocs\zapi\drtusz\src\apisubiektgt\subiektgt\customer.php: <b>Source:</b> Unknown<br/><b>Description:</b> Unknown
2021-03-22 10:25:17 Line: 83, C:\xampp\htdocs\zapi\drtusz\src\apisubiektgt\subiektgt\customer.php: <b>Source:</b> Unknown<br/><b>Description:</b> Unknown
2021-03-22 10:25:26 Line: 83, C:\xampp\htdocs\zapi\drtusz\src\apisubiektgt\subiektgt\customer.php: <b>Source:</b> Unknown<br/><b>Description:</b> Unknown
2021-03-22 10:38:33 Line: 83, C:\xampp\htdocs\zapi\drtusz\src\apisubiektgt\subiektgt\customer.php: <b>Source:</b> Unknown<br/><b>Description:</b> Unknown
2021-03-22 10:48:58 Line: 83, C:\xampp\htdocs\zapi\drtusz\src\apisubiektgt\subiektgt\customer.php: <b>Source:</b> Unknown<br/><b>Description:</b> Unknown
2021-03-22 10:49:12 Line: 372, C:\xampp\htdocs\zapi\drtusz\src\apisubiektgt\subiektgt\document.php: Produkt nie jest kompletem.
2021-03-22 10:49:19 Line: 372, C:\xampp\htdocs\zapi\drtusz\src\apisubiektgt\subiektgt\document.php: Produkt nie jest kompletem.
2021-03-22 10:49:50 Line: 372, C:\xampp\htdocs\zapi\drtusz\src\apisubiektgt\subiektgt\document.php: Produkt nie jest kompletem.
2021-03-22 10:59:39 Line: 372, C:\xampp\htdocs\zapi\drtusz\src\apisubiektgt\subiektgt\document.php: Produkt nie jest kompletem.
