2021-07-14 05:30:03 Line: 13, : Request start: 188.68.224.138
2021-07-14 05:30:04 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-07-14 05:30:04 Line: 13, : Request start: 188.68.224.138
2021-07-14 05:30:04 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-07-14 05:30:04 Line: 13, : Request start: 188.68.224.138
2021-07-14 05:30:04 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-07-14 05:30:04 Line: 13, : Request start: 188.68.224.138
2021-07-14 05:30:04 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-07-14 05:30:04 Line: 13, : Request start: 188.68.224.138
2021-07-14 05:30:04 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-07-14 05:30:04 Line: 13, : Request start: 188.68.224.138
2021-07-14 05:30:04 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-07-14 05:30:04 Line: 13, : Request start: 188.68.224.138
2021-07-14 05:30:04 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-07-14 05:30:04 Line: 13, : Request start: 188.68.224.138
2021-07-14 05:30:04 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-07-14 05:30:04 Line: 13, : Request start: 188.68.224.138
2021-07-14 05:30:04 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-07-14 05:30:04 Line: 13, : Request start: 188.68.224.138
2021-07-14 05:30:04 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-07-14 05:30:04 Line: 13, : Request start: 188.68.224.138
2021-07-14 05:30:04 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-07-14 05:30:04 Line: 13, : Request start: 188.68.224.138
2021-07-14 05:30:04 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-07-14 05:30:04 Line: 13, : Request start: 188.68.224.138
2021-07-14 05:30:04 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-07-14 05:30:04 Line: 13, : Request start: 188.68.224.138
2021-07-14 05:30:04 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-07-14 05:30:04 Line: 13, : Request start: 188.68.224.138
2021-07-14 05:30:04 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-07-14 05:30:04 Line: 13, : Request start: 188.68.224.138
2021-07-14 05:30:04 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-07-14 05:30:04 Line: 13, : Request start: 188.68.224.138
