2021-02-23 11:39:49 Line: 11, : Request start: ::1
2021-02-23 11:40:03 Line: 11, : Request start: ::1
2021-02-23 11:40:03 Line: 146, APISubiektGT\SubiektGT\Customer->add: Utworzono klienta od klienta: 12345678912345678
2021-02-23 11:40:03 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 47
2021-02-23 11:40:03 Line: 268, APISubiektGT\SubiektGT\Product->add: Utworzono produkt: TEST0102
2021-02-23 11:40:03 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 51
2021-02-23 11:40:04 Line: 67, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: TEST0102
2021-02-23 11:40:04 Line: 284, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: ZK 5/2021
2021-02-23 11:40:04 Line: 95, APISubiektGT\SubiektGT\order->add: Request finish: ::1
2021-02-23 11:41:38 Line: 11, : Request start: ::1
2021-02-23 11:41:38 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 47
2021-02-23 11:41:38 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 51
2021-02-23 11:41:38 Line: 67, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: TEST0102
2021-02-23 11:41:38 Line: 284, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: ZK 6/2021
2021-02-23 11:41:38 Line: 95, APISubiektGT\SubiektGT\order->add: Request finish: ::1
2021-02-23 11:41:46 Line: 11, : Request start: ::1
2021-02-23 11:41:46 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 47
2021-02-23 11:41:46 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 51
2021-02-23 11:41:46 Line: 67, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: TEST0102
2021-02-23 11:41:46 Line: 284, APISubiektGT\SubiektGT\Order->add: Utworzono zamówienie od klienta: ZK 7/2021
2021-02-23 11:41:46 Line: 95, APISubiektGT\SubiektGT\order->add: Request finish: ::1
2021-02-23 18:09:23 Line: 11, : Request start: ::1
2021-02-23 18:10:00 Line: 11, : Request start: ::1
2021-02-23 18:10:25 Line: 11, : Request start: ::1
2021-02-23 18:10:37 Line: 11, : Request start: ::1
2021-02-23 18:11:18 Line: 11, : Request start: ::1
2021-02-23 18:11:28 Line: 11, : Request start: ::1
2021-02-23 18:11:33 Line: 11, : Request start: ::1
2021-02-23 18:11:47 Line: 11, : Request start: ::1
2021-02-23 18:12:08 Line: 11, : Request start: ::1
2021-02-23 18:12:08 Line: 268, APISubiektGT\SubiektGT\Product->add: Utworzono produkt: CODE
2021-02-23 18:12:08 Line: 95, APISubiektGT\SubiektGT\product->add: Request finish: ::1
2021-02-23 18:13:56 Line: 11, : Request start: ::1
2021-02-23 18:14:18 Line: 11, : Request start: ::1
2021-02-23 18:14:45 Line: 11, : Request start: ::1
2021-02-23 18:14:55 Line: 11, : Request start: ::1
2021-02-23 18:15:30 Line: 11, : Request start: ::1
2021-02-23 18:15:44 Line: 11, : Request start: ::1
2021-02-23 18:15:44 Line: 268, APISubiektGT\SubiektGT\Product->add: Utworzono produkt: CODE787
2021-02-23 18:15:44 Line: 95, APISubiektGT\SubiektGT\product->add: Request finish: ::1
2021-02-23 18:16:11 Line: 11, : Request start: ::1
2021-02-23 18:16:11 Line: 268, APISubiektGT\SubiektGT\Product->add: Utworzono produkt: CODE985
2021-02-23 18:16:11 Line: 95, APISubiektGT\SubiektGT\product->add: Request finish: ::1
2021-02-23 18:16:25 Line: 11, : Request start: ::1
2021-02-23 18:19:26 Line: 11, : Request start: ::1
2021-02-23 18:19:26 Line: 268, APISubiektGT\SubiektGT\Product->add: Utworzono produkt: CODE17
2021-02-23 18:19:26 Line: 95, APISubiektGT\SubiektGT\product->add: Request finish: ::1
2021-02-23 18:19:58 Line: 11, : Request start: ::1
2021-02-23 18:19:58 Line: 269, APISubiektGT\SubiektGT\Product->add: Utworzono produkt: CODE480
2021-02-23 18:19:58 Line: 95, APISubiektGT\SubiektGT\product->add: Request finish: ::1
2021-02-23 18:20:18 Line: 11, : Request start: ::1
2021-02-23 18:20:18 Line: 269, APISubiektGT\SubiektGT\Product->add: Utworzono produkt: CODE49
2021-02-23 18:20:18 Line: 95, APISubiektGT\SubiektGT\product->add: Request finish: ::1
2021-02-23 18:20:30 Line: 11, : Request start: ::1
2021-02-23 18:20:30 Line: 269, APISubiektGT\SubiektGT\Product->add: Utworzono produkt: CODE507
2021-02-23 18:20:30 Line: 95, APISubiektGT\SubiektGT\product->add: Request finish: ::1
2021-02-23 18:21:22 Line: 11, : Request start: ::1
2021-02-23 18:21:22 Line: 269, APISubiektGT\SubiektGT\Product->add: Utworzono produkt: CODE943
2021-02-23 18:21:22 Line: 95, APISubiektGT\SubiektGT\product->add: Request finish: ::1
2021-02-23 18:21:50 Line: 11, : Request start: ::1
2021-02-23 18:23:51 Line: 11, : Request start: ::1
2021-02-23 18:24:17 Line: 11, : Request start: ::1
2021-02-23 18:25:17 Line: 11, : Request start: ::1
2021-02-23 18:25:45 Line: 11, : Request start: ::1
2021-02-23 18:25:59 Line: 11, : Request start: ::1
2021-02-23 18:32:08 Line: 11, : Request start: ::1
2021-02-23 18:37:14 Line: 11, : Request start: ::1
2021-02-23 18:37:26 Line: 11, : Request start: ::1
2021-02-23 18:37:32 Line: 11, : Request start: ::1
2021-02-23 18:37:32 Line: 268, APISubiektGT\SubiektGT\Product->add: Utworzono produkt: CODE610
2021-02-23 18:37:32 Line: 95, APISubiektGT\SubiektGT\product->add: Request finish: ::1
2021-02-23 18:38:19 Line: 11, : Request start: ::1
2021-02-23 18:38:19 Line: 268, APISubiektGT\SubiektGT\Product->add: Utworzono produkt: !CODE524
2021-02-23 18:38:19 Line: 95, APISubiektGT\SubiektGT\product->add: Request finish: ::1
2021-02-23 18:41:19 Line: 11, : Request start: ::1
2021-02-23 18:41:19 Line: 268, APISubiektGT\SubiektGT\Product->add: Utworzono produkt: !CODE599
2021-02-23 18:41:19 Line: 95, APISubiektGT\SubiektGT\product->add: Request finish: ::1
2021-02-23 18:45:57 Line: 11, : Request start: ::1
2021-02-23 18:48:25 Line: 11, : Request start: ::1
2021-02-23 18:49:56 Line: 11, : Request start: ::1
2021-02-23 18:50:31 Line: 11, : Request start: ::1
2021-02-23 18:51:58 Line: 11, : Request start: ::1
2021-02-23 18:51:59 Line: 11, : Request start: ::1
2021-02-23 18:52:17 Line: 11, : Request start: ::1
2021-02-23 18:52:17 Line: 245, APISubiektGT\SubiektGT\Product->add: Utworzono produkt: !CODE792
2021-02-23 18:52:17 Line: 95, APISubiektGT\SubiektGT\product->add: Request finish: ::1
2021-02-23 18:52:20 Line: 11, : Request start: ::1
2021-02-23 18:53:07 Line: 11, : Request start: ::1
2021-02-23 18:55:28 Line: 11, : Request start: ::1
2021-02-23 18:55:33 Line: 11, : Request start: ::1
2021-02-23 18:56:47 Line: 11, : Request start: ::1
2021-02-23 18:56:47 Line: 245, APISubiektGT\SubiektGT\Product->add: Utworzono produkt: !CODE8724
2021-02-23 18:56:47 Line: 95, APISubiektGT\SubiektGT\product->add: Request finish: ::1
2021-02-23 18:58:36 Line: 11, : Request start: ::1
2021-02-23 18:58:36 Line: 245, APISubiektGT\SubiektGT\Product->add: Utworzono produkt: !CODE49900
2021-02-23 18:58:36 Line: 95, APISubiektGT\SubiektGT\product->add: Request finish: ::1
2021-02-23 19:02:19 Line: 11, : Request start: ::1
2021-02-23 19:02:19 Line: 245, APISubiektGT\SubiektGT\Product->add: Utworzono produkt: !CODE10143
2021-02-23 19:02:19 Line: 95, APISubiektGT\SubiektGT\product->add: Request finish: ::1
2021-02-23 19:09:03 Line: 11, : Request start: ::1
2021-02-23 19:09:03 Line: 240, APISubiektGT\SubiektGT\Product->add: Utworzono produkt: !CODE93738
2021-02-23 19:09:03 Line: 95, APISubiektGT\SubiektGT\product->add: Request finish: ::1
2021-02-23 19:09:11 Line: 11, : Request start: ::1
2021-02-23 19:09:11 Line: 240, APISubiektGT\SubiektGT\Product->add: Utworzono produkt: !CODE4819
